SF;Kursart;Kursart_Neu;Kursart_Alt
GY;00;PUT;PU11
GY;56;UMPF;UMS
GY;71;GKS;GKS
GY;72;LK1;LK1
GY;73;AGK;AGK
GY;76;ZK;ZK
GY;33;AST;AST
GY;36;AGGT;AGGT
GY;61;WPI;WPI
GY;62;WPII;WPII
GY;63;SPA;SPA
GY;64;F3;F3
GY;65;FS3;FS3
GY;81;SPFU;SPFU
GY;82;LRS;LRS
GY;84;MEU;MEU
GY;85;FG;FG
GY;86;ZUF;ZFU
GY;87;MAD;MAD
GY;99;ZUV;ZUV
G;33;AST;AST
G;36;AGGT;AGGT
G;81;SPFU;SPFU
G;82;LRS;LRS
G;84;MEU;MUE
G;85;FG;FG
G;86;ZUF;ZFU
G;87;MAD;MAD
G;99;ZUV;ZUV
H;13;G;G
H;16;E;E
H;17;VSU;VSU
H;26;WPU;WP
H;29;WPF;WPF
H;33;AST;AST
H;36;AGGT;AGGT
H;81;SPFU;SPFU
H;82;LRS;LRS
H;84;MEU;MEU
H;85;FG;FG
H;86;ZUF;ZUF
H;87;MAD;MFD
H;99;ZUV;ZUV
V;13;G;G
V;16;E;E
V;17;VSU;VSU
V;26;WPU;WP
V;29;WPF;WPF
V;33;AST;AST
V;36;AGGT;AGGT
V;56;UMPF;UMPF
V;81;SPFU;SPFU
V;82;LRS;LRS
V;84;MEU;MEU
V;85;FG;FG
V;86;ZUF;ZUF
V;87;MAD;MFD
V;99;ZUV;ZUV
R;33;AST;AST
R;36;AGGT;AGGT
R;56;UMPF;UMPF
R;61;WP1FS;WP1FS
R;81;SPFU;SPFU
R;82;LRS;LRS
R;84;MEU;MEU
R;85;FG;FG
R;86;ZUF;ZFU
R;87;MAD;MAD
R;99;ZUV;ZUV
GE;00;PUT;BVG
GE;01;G;G
GE;02;E;E
GE;04;FFU;FFU
GE;05;FUF;FUF
GE;10;WPI;WPI
GE;20;WPII;WPII
GE;24;WPIIF;WPIIF
GE;33;AST;AST
GE;36;AGGT;AGGT
GE;56;UMPF;UMPF
GE;71;GKS;GKS
GE;72;LK1;LK1
GE;73;AGK;AGK
GE;76;ZK;ZK
GE;81;SPFU;SPFU
GE;82;LRS;LRS
GE;84;MEU;MEU
GE;85;FG;FG
GE;86;ZUF;ZFU
GE;87;MAD;MAD
GE;99;ZUV;ZUV
GE;00;PUT;PU11
WB;00;PUT;PU
WB;57;EF2;EF2
WB;58;FAG;FAG
WB;79;FÜK;FÜK
WB;71;GKS;GKS
WB;72;LK1;LK1
S;13;G;G
S;16;E;E
S;17;VSU;VSU
S;26;WPU;WPU
S;29;WPF;WPF
S;56;UMPF;UMPF
S;01;FU;FU
S;81;SPFU;SPFU
S;82;LRS;LRS
S;84;MEU;MEU
S;85;FG;FG
S;86;ZUF;ZUF
S;87;MAD;MAD
S;99;ZUV;ZUV
S;33;AST;AST
S;36;AGGT;AGGT
G;00;PUT;PUT
H;88;EBA;EBA
V;88;EBA;EBA
G;99;PUK;PUK
H;99;PUK;PUK
V;99;PUK;PUK
R;99;PUK;PUK
